Latdeg,Longdeg,Year,Month,depth(m),TEMP,Salinity,DOXY(umol/l)
53.9167,4.5,1990,1,4,7.4,34.69,386.32
54.8333,6.5,1990,1,4,7.8,34.96,357.29
55.7333,6.6667,1986,2,10,2.13,34.08,338.98
55.7333,6.6667,1986,2,15,2.2,34.11,336.74
55.7333,6.6667,1986,2,20,2.3,34.13,341.21
55.7333,6.6667,1986,2,25,2.34,34.14,337.64
55.7333,6.6667,1986,2,30,2.35,34.14,338.53
55.7333,6.6667,1986,2,36,2.38,34.14,337.19
55.7333,6.3,1986,2,10,2.53,34.37,335.4
55.7333,6.3,1986,2,15,2.59,34.39,336.3
55.7333,6.3,1986,2,20,2.69,34.42,338.53
55.7333,6.3,1986,2,25,2.74,34.42,336.74
55.7333,6.3,1986,2,30,2.78,34.44,331.38
55.7333,6.3,1986,2,43,2.77,34.44,338.98
55.3167,6.45,1986,2,10,1.64,33.95,351.48
55.3167,6.45,1986,2,15,1.69,33.95,337.64
55.3167,6.45,1986,2,25,1.91,34.04,340.32
55.3167,6.45,1986,2,30,2.46,34.18,337.64
55.3167,6.45,1986,2,38,2.49,34.2,335.4
55.3167,6.8333,1986,2,10,0.78,33.28,353.71
55.3167,6.8333,1986,2,15,0.78,33.36,351.48
55.3167,6.8333,1986,2,20,1.77,33.79,344.78
55.3167,6.8333,1986,2,26,2.04,33.88,340.32
55,6.8333,1986,2,10,1.05,33.28,358.18
55,6.8333,1986,2,15,1.15,33.37,349.69
55,6.8333,1986,2,20,1.5,33.57,348.35
55,6.8333,1986,2,25,2.17,34.1,347.01
55,6.8333,1986,2,30,2.22,34.12,346.12
55,6.45,1986,2,10,2.62,34.3,341.21
55,6.45,1986,2,15,2.67,34.32,339.87
55,6.45,1986,2,20,2.69,34.32,337.64
55,6.45,1986,2,25,2.76,34.35,330.04
55,6.45,1986,2,30,2.82,34.36,335.4
55,6.45,1986,2,42,2.92,34.38,330.94
54.5333,6.45,1986,2,10,2.82,34.44,337.64
54.5333,6.45,1986,2,15,2.82,34.44,338.08
54.5333,6.45,1986,2,20,2.82,34.44,337.64
54.5333,6.45,1986,2,25,2.82,34.44,337.19
54.5333,6.45,1986,2,30,2.82,34.46,338.08
54.5333,6.45,1986,2,37,2.82,34.46,338.08
54.5333,6.8333,1986,2,10,1.16,33.6,352.82
54.5333,6.8333,1986,2,15,1.49,33.81,350.59
54.5333,6.8333,1986,2,20,1.63,34.02,348.8
54.5333,6.8333,1986,2,25,2.29,34.44,343.44
54.5333,6.8333,1986,2,30,2.34,34.47,338.98
54.5333,6.8333,1986,2,35,2.32,34.51,351.93
55.7333,6.6667,1987,2,10,2.7,34.12,338.98
55.7333,6.6667,1987,2,15,3.1,34.26,334.96
55.7333,6.6667,1987,2,20,3.33,34.37,332.28
55.7333,6.6667,1987,2,25,3.56,34.43,329.6
55.7333,6.6667,1987,2,30,3.56,34.44,330.04
